origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
CDG,ABJ,49.012798,2.55,,
CDG,ATL,49.012798,2.55,,
CDG,JNB,49.012798,2.55,,
CDG,LAX,49.012798,2.55,,
CDG,MIA,49.012798,2.55,,
CDG,MEX,49.012798,2.55,,
CDG,JFK,49.012798,2.55,,
CDG,SFO,49.012798,2.55,,
CDG,PVG,49.012798,2.55,,
CDG,IAD,49.012798,2.55,,
NRT,HNL,35.76470184,140.3860016,,
ICN,BKK,37.46910095,126.4509964,,
ICN,FRA,37.46910095,126.4509964,,
ICN,HKG,37.46910095,126.4509964,,
ICN,LAX,37.46910095,126.4509964,,
ICN,JFK,37.46910095,126.4509964,,
ICN,SYD,37.46910095,126.4509964,,
ICN,TPE,37.46910095,126.4509964,,
ICN,NRT,37.46910095,126.4509964,,
LHR,BOS,51.4706,-0.461941,,
LHR,ORD,51.4706,-0.461941,,
LHR,HKG,51.4706,-0.461941,,
LHR,JNB,51.4706,-0.461941,,
LHR,LAX,51.4706,-0.461941,,
LHR,SFO,51.4706,-0.461941,,
LHR,SIN,51.4706,-0.461941,,
LHR,IAD,51.4706,-0.461941,,
PEK,SZX,40.08010101,116.5849991,,
CAN,PEK,23.39240074,113.2990036,,
CAN,LAX,23.39240074,113.2990036,,
CAN,SYD,23.39240074,113.2990036,,
AUH,LHR,24.43300056,54.65110016,,
AUH,JFK,24.43300056,54.65110016,,
AUH,CDG,24.43300056,54.65110016,,
AUH,ICN,24.43300056,54.65110016,,
AUH,SYD,24.43300056,54.65110016,,
ICN,BKK,37.46910095,126.4509964,,
ICN,LHR,37.46910095,126.4509964,,
ICN,LAX,37.46910095,126.4509964,,
ICN,JFK,37.46910095,126.4509964,,
ICN,CDG,37.46910095,126.4509964,,
ICN,SYD,37.46910095,126.4509964,,
ICN,TPE,37.46910095,126.4509964,,
FRA,BKK,50.033333,8.570556,,
FRA,DEL,50.033333,8.570556,,
FRA,IAH,50.033333,8.570556,,
FRA,LAX,50.033333,8.570556,,
FRA,MIA,50.033333,8.570556,,
FRA,JFK,50.033333,8.570556,,
FRA,SFO,50.033333,8.570556,,
FRA,PVG,50.033333,8.570556,,
FRA,SIN,50.033333,8.570556,,
MUC,PEK,48.353802,11.7861,,
MUC,HKG,48.353802,11.7861,,
MUC,LAX,48.353802,11.7861,,
MUC,MIA,48.353802,11.7861,,
MUC,SFO,48.353802,11.7861,,
KUL,JED,2.745579958,101.7099991,,
KUL,HKG,2.745579958,101.7099991,,
KUL,MED,2.745579958,101.7099991,,
KUL,NRT,2.745579958,101.7099991,,
LHR,SIN,51.4706,-0.461941,,
MEL,LAX,-37.673302,144.843002,,
MEL,SIN,-37.673302,144.843002,,
MEL,NRT,-37.673302,144.843002,,
SYD,DFW,-33.94609833,151.177002,,
SYD,HKG,-33.94609833,151.177002,,
SYD,LAX,-33.94609833,151.177002,,
SYD,SIN,-33.94609833,151.177002,,
DOH,FRA,25.273056,51.608056,,
DOH,CAN,25.273056,51.608056,,
DOH,LHR,25.273056,51.608056,,
DOH,MEL,25.273056,51.608056,,
DOH,CDG,25.273056,51.608056,,
DOH,PER,25.273056,51.608056,,
DOH,SYD,25.273056,51.608056,,
FRA,JFK,50.033333,8.570556,,
SIN,AKL,1.35019,103.994003,,
SIN,PEK,1.35019,103.994003,,
SIN,DEL,1.35019,103.994003,,
SIN,FRA,1.35019,103.994003,,
SIN,HKG,1.35019,103.994003,,
SIN,LHR,1.35019,103.994003,,
SIN,MEL,1.35019,103.994003,,
SIN,BOM,1.35019,103.994003,,
SIN,KIX,1.35019,103.994003,,
SIN,CDG,1.35019,103.994003,,
SIN,PVG,1.35019,103.994003,,
SIN,SYD,1.35019,103.994003,,
SIN,NRT,1.35019,103.994003,,
SIN,ZRH,1.35019,103.994003,,
BKK,FRA,13.68109989,100.7470016,,
BKK,LHR,13.68109989,100.7470016,,
BKK,KIX,13.68109989,100.7470016,,
BKK,NRT,13.68109989,100.7470016,,
BKK,HKG,13.68109989,100.7470016,,
CHC,SYD,-43.48939896,172.5319977,,
DXB,AMM,25.25279999,55.36439896,,
DXB,AMS,25.25279999,55.36439896,,
DXB,AKL,25.25279999,55.36439896,,
DXB,BKK,25.25279999,55.36439896,,
DXB,BCN,25.25279999,55.36439896,,
DXB,PEK,25.25279999,55.36439896,,
DXB,BHX,25.25279999,55.36439896,,
DXB,BOS,25.25279999,55.36439896,,
DXB,BNE,25.25279999,55.36439896,,
DXB,CAI,25.25279999,55.36439896,,
